Lower,Upper
4491.000000000000000,5132.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1925.000000000000000,2566.000000000000000
1794.319999999999936,1925.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
3849.000000000000000,4491.000000000000000
2566.000000000000000,3208.000000000000000
2566.000000000000000,3208.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
3208.000000000000000,3849.000000000000000
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
7699.000000000000000,16429.099999999998545
5132.000000000000000,5774.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5132.000000000000000,5774.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5774.000000000000000,6416.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
5132.000000000000000,5774.000000000000000
1925.000000000000000,2566.000000000000000
