OBJECTNUMMER;PROJECTNAAM;Clusternaam;Cluster_ID;Gebiednaam;Gebied_ID;Aantal_woningen_max;Typologie;Ingreep;HGS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
82;"Johan Jongkindstraat/Ringspoor";"Ring West";"R";"Ring West";"R";170;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.83644 52.359384,4.834714 52.359357,4.834725 52.360001,4.835999 52.360028,4.835997 52.35982,4.836408 52.359822,4.83644 52.359384))";"POLYGON((52.359384 4.83644,52.359357 4.834714,52.360001 4.834725,52.360028 4.835999,52.35982 4.835997,52.359822 4.836408,52.359384 4.83644))";4.835582;52.3596855;
83;"Robert Fruinlaan Zuid-West";"Ring West";"R";"Ring West";"R";100;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.824618 52.363795,4.826781 52.363834,4.826839 52.362707,4.82464 52.362688,4.824586 52.363007,4.823963 52.36314,4.824618 52.363795))";"POLYGON((52.363795 4.824618,52.363834 4.826781,52.362707 4.826839,52.362688 4.82464,52.363007 4.824586,52.36314 4.823963,52.363795 4.824618))";4.825406;52.363254;
84;"KW buurt-Slotervaart Waterfront";"Ring West";"R";"Ring West";"R";280;"Gemengde stadsbuurt";"Groen-sportpark";"Nee";"POLYGON((4.840518 52.352571,4.84055 52.352176,4.835991 52.352158,4.83599 52.352584,4.840518 52.352571))";"POLYGON((52.352571 4.840518,52.352176 4.84055,52.352158 4.835991,52.352584 4.83599,52.352571 4.840518))";4.838275;52.352364;
85;"Vlaardingenlaan-Aalsmeerplein";"Overig";"O";"Overig";"O";75;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.8454 52.347307,4.845408 52.346976,4.842199 52.346952,4.842189 52.347287,4.842952 52.347294,4.842953 52.347011,4.843242 52.347007,4.843238 52.347291,4.844288 52.347295,4.844295 52.347017,4.844579 52.347018,4.844566 52.347298,4.8454 52.347307))";"POLYGON((52.347307 4.8454,52.346976 4.845408,52.346952 4.842199,52.347287 4.842189,52.347294 4.842952,52.347011 4.842953,52.347007 4.843242,52.347291 4.843238,52.347295 4.844288,52.347017 4.844295,52.347018 4.844579,52.347298 4.844566,52.347307 4.8454))";4.8438035;52.3471225;
86;"Valburgdreef ";"Overig";"O";"Overig";"O";800;"Groen-blauw wonen";"Groen-sportpark";"Deels";"MULTIPOLYGON(((4.999771 52.301265,4.989994 52.301228,4.989999 52.301624,4.999759 52.301632,4.999771 52.301265)),((4.988258 52.301228,4.980087 52.301211,4.980105 52.301571,4.988249 52.301605,4.988258 52.301228)))";"MULTIPOLYGON(((52.301265 4.999771,52.301228 4.989994,52.301624 4.989999,52.301632 4.999759,52.301265 4.999771)),((52.301228 4.988258,52.301211 4.980087,52.301571 4.980105,52.301605 4.988249,52.301228 4.988258)))";4.989934;52.3014145;
87;"Minervahaven Noord";"Haven-Stad";"H";"Haven-Stad 3 - Alfadriehoek-Minervahaven noord";"H3";2685;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.8692090 52.3995330,4.8692580 52.3989590,4.8693400 52.3987080,4.8699910 52.3975740,4.8696210 52.3974770,4.8719119 52.3975019,4.8733030 52.3975857,4.8696210 52.3974770,4.8717627 52.3974843,4.8717370 52.3974682,4.8731817 52.3975681,4.8746423 52.3978074,4.8760171 52.3980467,4.8777331 52.3983223,4.8768350 52.4006360,4.8763370 52.4006120,4.8755380 52.4024720,4.8741560 52.4017970,4.8759830 52.3980340,4.8732210 52.3975670,4.8717450 52.4001350,4.8716430 52.4002150,4.8714840 52.4002650,4.8712500 52.4002350,4.8697300 52.3999150,4.8691350 52.3995960,4.8692090 52.3995330))";"POLYGON((52.3995330 4.8692090,52.3989590 4.8692580,52.3987080 4.8693400,52.3975740 4.8699910,52.3974770 4.8696210,52.3975019 4.8719119,52.3975857 4.8733030,52.3974770 4.8696210,52.3974843 4.8717627,52.3974682 4.8717370,52.3975681 4.8731817,52.3978074 4.8746423,52.3980467 4.8760171,52.3983223 4.8777331,52.4006360 4.8768350,52.4006120 4.8763370,52.4024720 4.8755380,52.4017970 4.8741560,52.3980340 4.8759830,52.3975670 4.8732210,52.4001350 4.8717450,52.4002150 4.8716430,52.4002650 4.8714840,52.4002350 4.8712500,52.3999150 4.8697300,52.3995960 4.8691350,52.3995330 4.8692090))";4.87343905;52.3999631;
92;"Wildemanbuurt";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";0;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.798235 52.35934,4.795533 52.364347,4.800337 52.365338,4.802659 52.361032,4.802933 52.360969,4.803399 52.360385,4.798235 52.35934),(4.800994 52.362651,4.800854 52.362896,4.799309 52.362586,4.799446 52.362349,4.800994 52.362651),(4.799292 52.360568,4.798736 52.361659,4.798222 52.361564,4.798829 52.360475,4.799292 52.360568))";"POLYGON((52.35934 4.798235,52.364347 4.795533,52.365338 4.800337,52.361032 4.802659,52.360969 4.802933,52.360385 4.803399,52.35934 4.798235),(52.362651 4.800994,52.362896 4.800854,52.362586 4.799309,52.362349 4.799446,52.362651 4.800994),(52.360568 4.799292,52.361659 4.798736,52.361564 4.798222,52.360475 4.798829,52.360568 4.799292))";4.799471;52.362332;
93;"Science Park-Oost";"Overig";"O";"Overig";"O";1800;"Gemengde stadsbuurt";"Nieuwbouw";"Nee";"POLYGON((4.95467 52.352267,4.951491 52.354178,4.951881 52.354427,4.952572 52.354412,4.953117 52.354209,4.954542 52.354235,4.954827 52.353918,4.955707 52.353577,4.956723 52.354163,4.957284 52.353836,4.960461 52.355557,4.960646 52.355754,4.960694 52.356209,4.962037 52.355744,4.962777 52.355414,4.96344 52.355085,4.963556 52.355007,4.963597 52.354922,4.96359 52.354848,4.963545 52.354751,4.963423 52.354648,4.963274 52.354556,4.960263 52.353153,4.959895 52.353042,4.959542 52.352966,4.959208 52.352924,4.9588 52.352896,4.95832 52.352906,4.957281 52.353046,4.956332 52.353268,4.95467 52.352267),(4.961329 52.355346,4.960091 52.354631,4.961368 52.353796,4.962678 52.354488,4.961329 52.355346))";"POLYGON((52.352267 4.95467,52.354178 4.951491,52.354427 4.951881,52.354412 4.952572,52.354209 4.953117,52.354235 4.954542,52.353918 4.954827,52.353577 4.955707,52.354163 4.956723,52.353836 4.957284,52.355557 4.960461,52.355754 4.960646,52.356209 4.960694,52.355744 4.962037,52.355414 4.962777,52.355085 4.96344,52.355007 4.963556,52.354922 4.963597,52.354848 4.96359,52.354751 4.963545,52.354648 4.963423,52.354556 4.963274,52.353153 4.960263,52.353042 4.959895,52.352966 4.959542,52.352924 4.959208,52.352896 4.9588,52.352906 4.95832,52.353046 4.957281,52.353268 4.956332,52.352267 4.95467),(52.355346 4.961329,52.354631 4.960091,52.353796 4.961368,52.354488 4.962678,52.355346 4.961329))";4.957549;52.354231;
94;"Tuindorp Frankendael";"Overig";"O";"Overig";"O";1800;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.935634 52.348469,4.936426 52.348925,4.937811 52.348112,4.937136 52.347717,4.938531 52.346837,4.934478 52.344369,4.929593 52.347483,4.93207 52.348822,4.933372 52.348055,4.934909 52.348929,4.935634 52.348469),(4.935871 52.347941,4.933806 52.346794,4.934884 52.346076,4.935523 52.346442,4.935152 52.346685,4.936595 52.347504,4.935871 52.347941))";"POLYGON((52.348469 4.935634,52.348925 4.936426,52.348112 4.937811,52.347717 4.937136,52.346837 4.938531,52.344369 4.934478,52.347483 4.929593,52.348822 4.93207,52.348055 4.933372,52.348929 4.934909,52.348469 4.935634),(52.347941 4.935871,52.346794 4.933806,52.346076 4.934884,52.346442 4.935523,52.346685 4.935152,52.347504 4.936595,52.347941 4.935871))";4.934067;52.346642;
95;"Delfland Maassluis/Spoorzone";"Kerncorridor";"K";"Kerncorridor 1 - Schinkelkwartier";"K1";280;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.83643 52.347263,4.835619 52.347258,4.83556 52.350608,4.836371 52.350614,4.83643 52.347263))";"POLYGON((52.347263 4.83643,52.347258 4.835619,52.350608 4.83556,52.350614 4.836371,52.347263 4.83643))";4.836;52.348929;
97;"Appelweg / Oostzanerdijk  PO";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";14;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.896815 52.415389,4.896649 52.415171,4.896355 52.415285,4.895291 52.415946,4.895744 52.416069,4.895888 52.416029,4.895975 52.41585,4.896373 52.415544,4.896815 52.415389))";"POLYGON((52.415389 4.896815,52.415171 4.896649,52.415285 4.896355,52.415946 4.895291,52.416069 4.895744,52.416029 4.895888,52.41585 4.895975,52.415544 4.896373,52.415389 4.896815))";4.896058;52.415613;
101;"Lebo Blok C Plein West";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";171;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.804934 52.358035,4.804877 52.358024,4.804891 52.357998,4.804797 52.357978,4.804762 52.357981,4.804726 52.358047,4.804516 52.358007,4.804182 52.358624,4.804573 52.358703,4.804934 52.358035))";"POLYGON((52.358035 4.804934,52.358024 4.804877,52.357998 4.804891,52.357978 4.804797,52.357981 4.804762,52.358047 4.804726,52.358007 4.804516,52.358624 4.804182,52.358703 4.804573,52.358035 4.804934))";4.804563;52.3583335;
102;"Bernardterrein Zelfbouw";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 3 - Noord";"B3";16;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.897664 52.415706,4.8976 52.415703,4.897571 52.415781,4.897475 52.415768,4.897501 52.415695,4.897447 52.415689,4.897431 52.415765,4.89731 52.415749,4.897326 52.41568,4.8971 52.415664,4.897085 52.415726,4.896995 52.415727,4.896996 52.415652,4.896943 52.415649,4.896932 52.41623,4.897432 52.416246,4.897434 52.416163,4.897469 52.416119,4.897527 52.416126,4.897574 52.416032,4.897664 52.415706))";"POLYGON((52.415706 4.897664,52.415703 4.8976,52.415781 4.897571,52.415768 4.897475,52.415695 4.897501,52.415689 4.897447,52.415765 4.897431,52.415749 4.89731,52.41568 4.897326,52.415664 4.8971,52.415726 4.897085,52.415727 4.896995,52.415652 4.896996,52.415649 4.896943,52.41623 4.896932,52.416246 4.897432,52.416163 4.897434,52.416119 4.897469,52.416126 4.897527,52.416032 4.897574,52.415706 4.897664))";4.897303;52.4159405;
105;"Oranjewerf";"IJ-oevers";"I";"IJ-oevers 2 - Noordelijke IJ-oevers oost";"I2";1000;"Gemengde stadsbuurt";"Transformatie";"Deels";"POLYGON((4.952539 52.38419,4.951327 52.383983,4.950692 52.383963,4.946684 52.38413,4.946603 52.384111,4.945982 52.38411,4.944341 52.384151,4.944329 52.38422,4.944911 52.385598,4.944912 52.38567,4.944818 52.385831,4.944817 52.38587,4.944897 52.38596,4.947103 52.385664,4.947143 52.385831,4.947228 52.38589,4.948459 52.3858,4.950282 52.3858,4.950657 52.385813,4.950853 52.385836,4.951307 52.385961,4.951501 52.385962,4.951675 52.385884,4.952064 52.385977,4.952539 52.38419))";"POLYGON((52.38419 4.952539,52.383983 4.951327,52.383963 4.950692,52.38413 4.946684,52.384111 4.946603,52.38411 4.945982,52.384151 4.944341,52.38422 4.944329,52.385598 4.944911,52.38567 4.944912,52.385831 4.944818,52.38587 4.944817,52.38596 4.944897,52.385664 4.947103,52.385831 4.947143,52.38589 4.947228,52.3858 4.948459,52.3858 4.950282,52.385813 4.950657,52.385836 4.950853,52.385961 4.951307,52.385962 4.951501,52.385884 4.951675,52.385977 4.952064,52.38419 4.952539))";4.948439;52.384963;
108;"Reade - Revalidatiecentrum";"Overig";"O";"Overig";"O";125;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.86765 52.360631,4.867783 52.360405,4.867645 52.360373,4.868049 52.35971,4.867814 52.35965,4.867854 52.359594,4.867529 52.359517,4.867349 52.35982,4.867221 52.359789,4.867126 52.359932,4.866899 52.359886,4.86687 52.359921,4.866739 52.359889,4.866693 52.359952,4.866409 52.359884,4.86637 52.359944,4.866275 52.359922,4.866085 52.360225,4.867467 52.360545,4.867448 52.360585,4.86765 52.360631))";"POLYGON((52.360631 4.86765,52.360405 4.867783,52.360373 4.867645,52.35971 4.868049,52.35965 4.867814,52.359594 4.867854,52.359517 4.867529,52.35982 4.867349,52.359789 4.867221,52.359932 4.867126,52.359886 4.866899,52.359921 4.86687,52.359889 4.866739,52.359952 4.866693,52.359884 4.866409,52.359944 4.86637,52.359922 4.866275,52.360225 4.866085,52.360545 4.867467,52.360585 4.867448,52.360631 4.86765))";4.867072;52.360067;
109;"De Werf - Cordaan";"IJ-oevers";"I";"IJ-oevers 1 - Noordelijke IJ-oevers west";"I1";1000;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.894452 52.407576,4.89663 52.407242,4.896463 52.40693,4.896257 52.406744,4.895992 52.406659,4.895662 52.406614,4.895308 52.4066,4.894954 52.406651,4.894565 52.406882,4.894401 52.407033,4.894345 52.407153,4.894366 52.407374,4.894452 52.407576))";"POLYGON((52.407576 4.894452,52.407242 4.89663,52.40693 4.896463,52.406744 4.896257,52.406659 4.895992,52.406614 4.895662,52.4066 4.895308,52.406651 4.894954,52.406882 4.894565,52.407033 4.894401,52.407153 4.894345,52.407374 4.894366,52.407576 4.894452))";4.8954925;52.407081;
110;"Entreegebied Gulden Winckel";"Overig";"O";"Overig";"O";600;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.846301 52.383879,4.846787 52.384443,4.846988 52.384377,4.846614 52.383959,4.846664 52.383859,4.846842 52.383776,4.846784 52.383726,4.847084 52.383583,4.847822 52.383321,4.849897 52.38239,4.849909 52.38194,4.845749 52.381883,4.845644 52.381842,4.845236 52.381827,4.845218 52.382921,4.845419 52.384344,4.845707 52.384696,4.845785 52.384709,4.84637 52.384542,4.846278 52.384431,4.846309 52.38442,4.845947 52.38399,4.846301 52.383879),(4.84641 52.383432,4.846023 52.383422,4.846054 52.382876,4.846445 52.382885,4.84641 52.383432))";"POLYGON((52.383879 4.846301,52.384443 4.846787,52.384377 4.846988,52.383959 4.846614,52.383859 4.846664,52.383776 4.846842,52.383726 4.846784,52.383583 4.847084,52.383321 4.847822,52.38239 4.849897,52.38194 4.849909,52.381883 4.845749,52.381842 4.845644,52.381827 4.845236,52.382921 4.845218,52.384344 4.845419,52.384696 4.845707,52.384709 4.845785,52.384542 4.84637,52.384431 4.846278,52.38442 4.846309,52.38399 4.845947,52.383879 4.846301),(52.383432 4.84641,52.383422 4.846023,52.382876 4.846054,52.382885 4.846445,52.383432 4.84641))";4.8475685;52.383261;
