OBJECTNUMMER;Naam;Straatnaam;Doelgroep;Aantal_woningen;Status;Termijn_project;Eigenaar_beheerder;Informatie;Webpagina;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Rode Kruislaan, Diemen";"Rode Kruislaan, Diemen";"Studenten";924;"Bestaand";"Permanent";"De Key ";"";"";"POINT(4.9693611,52.3426177)";"POINT(52.3426177,4.9693611)";4.9693611;52.3426177;
2;"De Feniks ";"James Wattstraat";"Studenten";342;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9221809,52.3494231)";"POINT(52.3494231,4.9221809)";4.9221809;52.3494231;
3;"MyPlace";"Javaplein";"Studenten";172;"Bestaand";"Permanent";"Ymere";"";"";"POINT(4.9389341,52.3634802)";"POINT(52.3634802,4.9389341)";4.9389341;52.3634802;
4;"Meer en Vaart";"Meer en Vaart 352";"Studenten";395;"Bestaand";"Permanent";"";"";"";"POINT(4.8097231,52.3545653)";"POINT(52.3545653,4.8097231)";4.8097231;52.3545653;
5;"Bijltjespad/Kattenburgerstraat";"Bijltjespad/Kattenburgerstraat";"Studenten";280;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.917197,52.3715026)";"POINT(52.3715026,4.917197)";4.917197;52.3715026;
7;"Weesperflat";"Weesperstraat";"Studenten";228;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.9062941,52.3647315)";"POINT(52.3647315,4.9062941)";4.9062941;52.3647315;
11;"Zuiderzeeweg Oost";"Zuiderzeeweg 50";"Studenten";335;"Bestaand";"Tijdelijk";"De Key";"";"";"POINT(4.9652498,52.3707396)";"POINT(52.3707396,4.9652498)";4.9652498;52.3707396;
13;"Echtenstein";"";"Studenten";232;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9626229,52.3245284)";"POINT(52.3245284,4.9626229)";4.9626229;52.3245284;
14;"Daalwijk";"Daalwijk";"Studenten";232;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9506299,52.3212554)";"POINT(52.3212554,4.9506299)";4.9506299;52.3212554;
15;"Spinozacampus I";"Dennenrodenpad";"Studenten";700;"Bestaand";"Semipermanent";"DUWO";"";"";"POINT(4.9533579,52.321778)";"POINT(52.321778,4.9533579)";4.9533579;52.321778;
16;"The Student Hotel I";"Jan van Galenstraat 335";"Studenten";709;"Bestaand";"Permanent";"City Living";"";"";"POINT(4.836396,52.3719107)";"POINT(52.3719107,4.836396)";4.836396;52.3719107;
17;"The Student Hotel II";"Wibautstraat 125";"Studenten";574;"Bestaand";"Permanent";"City Living";"";"https://www.thestudenthotel.com/amsterdam-city/";"POINT(4.9126599,52.3538138)";"POINT(52.3538138,4.9126599)";4.9126599;52.3538138;
18;"Blue Gray";"Paalbergweg 21";"Studenten";348;"Bestaand";"Semipermanent";"Blue Grey";"Alle appartementen zijn zelfstandige eenkamer-eenheden met eigen sanitair en keuken met een totale oppervlakte van resp. 27 en 50m2 in groepen rond een gemeenschappelijke gangruimte.";"http://www.blue-gray.nl/";"POINT(4.9556668,52.2973105)";"POINT(52.2973105,4.9556668)";4.9556668;52.2973105;
19;"Campus Diemen Zuid ";"Daalwijkdreef";"Studenten";936;"Bestaand";"Permanent";"Snippe BV";"";"";"POINT(4.9571721,52.3291213)";"POINT(52.3291213,4.9571721)";4.9571721;52.3291213;
21;"Presto ";"";"Studenten";97;"Bestaand";"Permanent";"Jan PietersznHuis";"Voor muziekstudenten, verhuur via Recourt ";"";"POINT(4.9691508,52.3716475)";"POINT(52.3716475,4.9691508)";4.9691508;52.3716475;
22;"Elseviergebouw";"S. Burgerhartstraat";"Studenten";263;"Bestaand";"Permanent";"DUWO";"";"https://www.duwo.nl/over-duwo/nieuws/laatste-nieuws/bericht/artikel/betaalbare-woningen-binnen-ring-amsterdam-reageer-9-juni-494/";"POINT(4.8462269,52.3833167)";"POINT(52.3833167,4.8462269)";4.8462269;52.3833167;
24;"Villa Mokum";"";"Studenten";276;"Bestaand";"Permanent";"AM/Syntrus Achmea";"";"";"POINT(4.918597,52.338452)";"POINT(52.338452,4.918597)";4.918597;52.338452;
25;"Ravel Residence";"Antonio Vivaldistraat";"Studenten";813;"Bestaand";"Tijdelijk";"Verweij Mungra Vastgoed";"";"";"POINT(4.8842499,52.3351752)";"POINT(52.3351752,4.8842499)";4.8842499;52.3351752;
26;"AmstelHome/Student Experience";"Joan Muyskensweg";"Studenten";525;"Bestaand";"Semipermanent";"Verwij Mungra Vastgoed";"AmstelHome is a new experience. Wonen aan de Amstel in Amsterdam, wie wil dat niet. AmstelHome is een modern studentencomplex aan de Joan Muyskenweg in Amsterdam dat bestaat uit splinternieuwe zelfstandige studentenwoningen met eigen keuken en badkamer. Alle woningen hebben een vloeroppervlakte vanaf 21 m² en zijn voorzien van snelle beveiligde internet aansluiting en kabel televisie.";"http://www.studentexperience.nl/nl";"POINT(4.9135759,52.3340193)";"POINT(52.3340193,4.9135759)";4.9135759;52.3340193;
27;"Science Park II";"Carolina MacGillavrylaan";"Studenten";605;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9507668,52.3548133)";"POINT(52.3548133,4.9507668)";4.9507668;52.3548133;
29;"Paraplufabriek";"Jacques Veltmanstraat ";"Studenten";419;"Bestaand";"Permanent";"DUWO";"Het complex bevat 419 woningen en bestaat uit twee met elkaar verbonden gebouwen geplaatst in een U-vorm rond een binnenterrein. ";"https://www.duwo.nl/over-duwo/wij-bouwen/projectinformatie/?dwid=6862&view=1&page=1&cHash=9fd9652d387b1f5a02962b034a0dc5c8";"POINT(4.8329289,52.3526579)";"POINT(52.3526579,4.8329289)";4.8329289;52.3526579;
30;"Nierkerkestraat";"Nierkerkestraat";"Gemengd";101;"Bestaand";"Tijdelijk";"Rochdale ";"";"";"POINT(4.7946989,52.3539244)";"POINT(52.3539244,4.7946989)";4.7946989;52.3539244;
32;"Science Park I";"Carolina MacGillavrylaan";"Studenten";721;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9488351,52.3556906)";"POINT(52.3556906,4.9488351)";4.9488351;52.3556906;
33;"Bergwijkdreef";"Bergwijkdreef 53";"Studenten";500;"Bestaand";"Tijdelijk";"De Key";"Tot 2022";"";"POINT(4.960835,52.326105)";"POINT(52.326105,4.960835)";4.960835;52.326105;
35;"Zuiderzeeweg West";"Zuiderzeeweg";"Studenten";235;"Bestaand";"Tijdelijk";"DUWO";"";"";"POINT(4.960633,52.3716094)";"POINT(52.3716094,4.960633)";4.960633;52.3716094;
36;"Delfland Hart/De Veste Poeldijkstraat";"Poeldijkstraat 16";"Studenten";500;"Plan in ontwikkeling";"Permanent";"De Key";"";"https://www.dekey.nl/poeldijkstraat";"POINT(4.8437669,52.3487403)";"POINT(52.3487403,4.8437669)";4.8437669;52.3487403;
38;"Fraijlemaborg";"Stramanweg ";"Studenten";170;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.945966,52.3154837)";"POINT(52.3154837,4.945966)";4.945966;52.3154837;
39;"Smiley";"IJdoornlaan";"Studenten";364;"Bestaand";"Permanent";"Van Wijnen/ IC Campus/ DUWO";"De Smiley is een markant gebouw waarin 364 betaalbare studentenwoningen zijn gekomen. ";"https://www.duwo.nl/over-duwo/nieuws/laatste-nieuws/bericht/artikel/vlag-in-top-van-nieuwbouw-364-betaalbare-studentenwoningen-zeeburgereiland-amsterdam-619/";"POINT(4.9671562,52.371163)";"POINT(52.371163,4.9671562)";4.9671562;52.371163;
41;"Spinozacampus II";"Darlingstraat";"Studenten";550;"Bestaand";"Semipermanent";"DUWO";"Elke woning heeft een eigen keuken, douche en toilet. Studenten kunnen er zo intrekken: de muren zijn afgewerkt, er ligt marmoleum op de vloer en de gordijnen hangen er al.";"www.duwo.nl";"POINT(4.9551389,52.3222434)";"POINT(52.3222434,4.9551389)";4.9551389;52.3222434;
43;"Little Manhattan";"Station Lelylaan";"Gemengd";869;"Bestaand";"Permanent";"IC Campus/ DUWO";"Little Manhattan – Lelylaan Amsterdam 590 studenten- & 279 Young Professional woningen De torens van het complex zijn markante elementen en representeren de stationsomgeving in Amsterdam West.";"http://ic-netherlands.com/portfolio-items/little-manhattan-lelylaan-in-amsterdam/";"POINT(4.8354909,52.3569724)";"POINT(52.3569724,4.8354909)";4.8354909;52.3569724;
44;"Our Domain";"Paalbergweg 9 - 11";"Gemengd";955;"Plan in ontwikkeling";"Permanent";"Greystar/Blauwhoed";"Start bouw: 2018. In totaal 955 woningen voor jongeren, studenten en Young Professionals.";"";"POINT(4.9564912,52.2985388)";"POINT(52.2985388,4.9564912)";4.9564912;52.2985388;
45;"Laan van Spartaan";"";"Studenten";205;"Bestaand";"Permanent";"Ymere ";"Voor sportstudenten";"http://www.laanvanspartaan.nl/home";"POINT(4.8405769,52.3739821)";"POINT(52.3739821,4.8405769)";4.8405769;52.3739821;
46;"Nautique Living ";"Tt. Vasumweg";"Gemengd";403;"Bestaand";"Permanent";"Bouwinvest / Student Experience";"Student Experience heeft zijn derde studentencomplex geopend in Amsterdam: Nautique Living, op het terrein van de voormalige NDSM-scheepswerf in Amsterdam Noord. Het in roestbruin Cortenstaal uitgevoerde complex bestaat uit 403 zelfstandige studentenwoningen.  De woningen hebben gemiddeld een vloeroppervlakte van 24 m². De locatie biedt extra faciliteiten zoals een lounge met zithoeken en televisies, wasserette, private dining room, game corner en studieruimte. Op het dak van het twaalf verdiepingen tellende complex is een sportveld en een dakterras met ligbanken en zitjes. Ook is er 24 uur per dag een beheerder en/of bewaker aanwezig.  Bouwinvest is eigenaar van het complex. Student Experience verhuurt de woningen en zorgt voor het beheer. De huurprijs (exclusief servicekosten en de levering van warmte en warm water) varieert van 500 tot 580 euro (woningen van 21 tot 31 m2). De servicekosten bedragen ongeveer 115 euro; daar komt dus nog verwarming van de woning en water bij. De huurprijs geeft wel recht op huurtoeslag voor studenten vanaf 23 jaar. ";"http://www.nautique-living.nl/home/";"POINT(4.8898852,52.4047324)";"POINT(52.4047324,4.8898852)";4.8898852;52.4047324;
47;"Pieter Vlamingstraat";"Pieter Vlamingstraat";"Studenten";143;"Bestaand";"Permanent";"De Key";"";"https://www.dekey.nl/#!content=&contentid1=&contentid2=&PageID=4181";"POINT(4.9281032,52.3650633)";"POINT(52.3650633,4.9281032)";4.9281032;52.3650633;
48;"Amstelcampus Leeuwenhoek";"Wibautstraat";"Studenten";150;"Bestaand";"Permanent";"De Key";"";"www.dekey.nl";"POINT(4.9101002,52.358422)";"POINT(52.358422,4.9101002)";4.9101002;52.358422;
49;"Van Heenvlietlaan";"Van Heenvlietlaan 220";"Gemengd";354;"Bestaand";"Permanent";"Amsterdam City Pads BV ";"Deels jongerenhuisvesting, deels studentenhuisvesting ";"";"POINT(4.8822281,52.327027)";"POINT(52.327027,4.8822281)";4.8822281;52.327027;
